HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,ClusterID
1627486638229,2021-07-28 18:37:18,36.0,-35.0,39.7,5050,5089,1,0,67038,7169.070511579587,45.62165007250067,4
1627486641456,2021-07-28 18:37:21,27.0,150.0,38.5,5031,5318,0,0,67041,7193.624955472727,45.92368204753254,4
1627486644932,2021-07-28 18:37:24,-130.0,75.0,39.8,5056,4963,1,0,67044,7126.509664625454,43.305621926364296,4
1627486648734,2021-07-28 18:37:28,115.0,177.0,37.6,5054,4598,0,0,67048,6628.647071612729,41.83237504251207,4
1627486653578,2021-07-28 18:37:33,-138.0,-40.0,38.9,5722,4810,1,0,67053,7606.71413949545,39.61268921018407,4
1627486665572,2021-07-28 18:37:45,43.0,-24.0,42.7,5293,1037,1,1,67065,5356.138627780278,11.425316883715368,4
1627486670986,2021-07-28 18:37:50,214.0,102.0,37.9,5700,1444,0,1,67070,5647.757076928858,13.7459040316607,4
1627486683674,2021-07-28 18:38:03,152.0,86.0,40.0,5506,1139,0,1,67083,5456.567144276702,11.126655797018742,4
1627486690669,2021-07-28 18:38:10,-96.0,-84.0,38.5,5448,-337,1,0,67090,5549.769815046387,-2.612875545834214,4
1627486695930,2021-07-28 18:38:15,-151.0,4.0,41.3,5202,787,0,1,67095,5409.96284645283,8.321816486212299,4
1627486701867,2021-07-28 18:38:21,-3.0,74.0,39.5,5417,675,1,1,67101,5453.2193243991205,6.3274286677174985,4
1627486707808,2021-07-28 18:38:27,81.0,-56.0,40.6,5276,729,1,1,67107,5253.974685892576,8.592776923027628,4
1627486713915,2021-07-28 18:38:33,52.0,-123.0,39.8,4954,-399,1,0,67113,4909.763741770066,-3.2225533748692783,4
1627486723001,2021-07-28 18:38:43,-99.0,-79.0,39.2,3407,1778,1,0,67123,3967.428008168516,27.90853273155207,4
1627486732714,2021-07-28 18:38:52,17.0,32.0,41.7,3178,1885,1,0,67132,3664.0865164458114,30.379126011368356,4
1627486742422,2021-07-28 18:39:02,-29.0,-39.0,38.9,3392,1708,1,0,67142,3841.2563049085907,27.052010217245737,4
1627486761245,2021-07-28 18:39:21,49.0,101.0,34.8,3053,1839,1,0,67161,3470.541744454315,30.052039431119624,4
1627486769544,2021-07-28 18:39:29,-102.0,-42.0,41.4,6618,676,1,1,67169,6758.248589686532,6.0986442518885156,4
