HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,Corner_Right,Wing_Right,TOP,Wing_Left,Corner_Left,ClusterID,Norm_ShotDistance,Norm_ShotAngle,Norm_TimeInSeconds,Norm_HitX,Norm_HitY,Norm_OriginX,Norm_OriginY,Distance,Cumulative_Distance
1717368509275,2024-06-03 01:48:29,79.0,66.0,35.9,299,4377,1,0,6509,4316.609896666596,87.07860214808169,0,0,0,0,1,15,-1.0205482735569154,1.275345674797449,-1.754829472351403,0.8703506375125479,0.4147098365152853,0.08688180157299,0.3243211518406073,5.0,2455.38991464787
1717368515018,2024-06-03 01:48:35,5.0,148.0,35.3,223,4607,1,0,6515,4464.325816962736,87.20104451384955,0,0,0,0,1,15,-0.9000909036967185,1.277446516928011,-1.7544722717239487,0.112098611653456,1.204614487563995,0.0671963815140821,0.441953667132825,242.2312944274542,2697.621209075324
1717368521413,2024-06-03 01:48:41,-6.0,66.0,36.2,349,4406,1,0,6521,4354.494804222414,85.32377432537952,0,0,0,0,1,15,-0.9896544043489,1.2452366827121095,-1.7541150710964943,-0.0006145273255981,0.4147098365152853,0.0998327358222716,0.3391530776818,237.22773868163057,2934.8489477569547
1717368526890,2024-06-03 01:48:46,-14.0,29.0,39.7,258,4392,1,0,6526,4371.470347606169,86.43265896931582,0,0,0,0,1,15,-0.9758114190846492,1.2642627082491456,-1.753817403906949,-0.0825877193103648,0.0582894451884285,0.0762620354885792,0.3319928376205346,92.07062506576133,3026.919572822716
1717368532548,2024-06-03 01:48:52,-4.0,11.0,37.6,301,4534,1,0,6532,4533.271886838467,86.14220719129324,0,0,0,0,1,15,-0.8438677002479773,1.2592791935290584,-1.7534602032794946,0.0198787706705934,-0.1151042587003126,0.0873998389429613,0.4046181296705124,148.36778626103444,3175.2873590837503
1717368538180,2024-06-03 01:48:58,-85.0,141.0,39.8,100,4542,1,0,6538,4404.886604669864,87.59293739463347,0,0,0,0,1,15,-0.9485615842097406,1.2841705382212534,-1.7531030026520402,-0.8100997981751693,1.1371836027183737,0.0353370832608494,0.408709695419807,201.1591409804685,3376.4465000642185
1717368544178,2024-06-03 01:49:04,-10.0,198.0,36.4,185,4448,0,0,6544,4254.471177479053,87.37297724953831,0,0,0,0,1,15,-1.071220311241186,1.280396505132604,-1.752745802024586,-0.0416011233179815,1.6862636650327203,0.0573536714846281,0.3606337978655963,126.73200069437868,3503.1785007585972
1717368550599,2024-06-03 01:49:10,-18.0,153.0,37.4,254,4406,1,0,6550,4261.688984428592,86.34064047568164,0,0,0,0,1,15,-1.0653344321865994,1.2626838729579029,-1.7523886013971317,-0.1235743153027482,1.2527794053108676,0.0752259607486366,0.3391530776818,80.77747210701756,3583.955972865615
1717368556408,2024-06-03 01:49:16,-17.0,30.0,36.5,221,4422,1,0,6556,4398.443815714826,86.89820781946287,0,0,0,0,1,15,-0.9538154621298206,1.27225050423863,-1.752031400769677,-0.1133276663046524,0.067922428737803,0.0666783441441108,0.347336209180389,36.6742416417845,3620.6302145073996
1717368563553,2024-06-03 01:49:23,-1.0,150.0,41.0,210,4399,0,0,6563,4254.235771557566,87.15709891800792,0,0,0,0,1,15,-1.0714122768607006,1.2766925070016446,-1.7516146667043135,0.050618717664881,1.223880454662744,0.0638291386092688,0.3355729576511673,25.495097567963924,3646.1253120753636
1717368568340,2024-06-03 01:49:28,56.0,110.0,33.8,236,4584,1,0,6568,4477.619456809612,87.69609271340366,0,0,0,0,1,15,-0.8892503870576655,1.2859404569769464,-1.7513169995147682,0.6346777105563437,0.8385611126877637,0.0705636244188953,0.4301904156036032,186.81809334215998,3832.9434054175235
1717368573541,2024-06-03 01:49:33,30.0,83.0,34.6,276,4615,1,0,6573,4538.671611826527,86.89299574433397,0,0,0,0,1,15,-0.8394644059468213,1.2721610764743936,-1.751019332325223,0.3682648366058519,0.5784705568546519,0.0809243718183205,0.4460452328821195,50.60632371551998,3883.5497291330435
1717368580471,2024-06-03 01:49:40,-10.0,151.0,39.4,169,4272,0,0,6580,4124.885695385995,87.51286049724135,0,0,0,0,1,15,-1.1768929179155478,1.2827965944994784,-1.7506025982598594,-0.0416011233179815,1.2335134382121185,0.053209372524858,0.2706193513811166,359.30210130195456,4242.851830434998
1717368585473,2024-06-03 01:49:45,-53.0,85.0,33.9,241,4251,1,0,6585,4176.361095499286,85.96325538012734,0,0,0,0,1,15,-1.13491645865701,1.2562087734021683,-1.750304931070314,-0.4822070302361025,0.5977365239534009,0.0718587178438234,0.2598789912892185,75.0,4317.851830434998
1717368591736,2024-06-03 01:49:51,-23.0,-87.0,36.8,231,4463,1,0,6591,4557.08415546608,86.80482665741798,0,0,0,0,1,15,-0.8244495952560696,1.2706482885496857,-1.7499477304428597,-0.1748075602932274,-1.0591366465390144,0.0692685309939671,0.3683054836455235,212.235718011837,4530.087548446835
1717368597525,2024-06-03 01:49:57,-62.0,95.0,32.7,321,4324,1,0,6597,4246.307807966822,84.8251167925903,0,0,0,0,1,15,-1.0778772647954735,1.2366808144304418,-1.7495905298154053,-0.5744268712189651,0.6940663594471461,0.0925802126426739,0.2972145287515311,165.59287424282482,4695.68042268966
1717368603578,2024-06-03 01:50:03,-56.0,7.0,34.4,360,4409,1,0,6603,4421.612827916981,84.60143858370641,0,0,0,0,1,15,-0.934921911139953,1.232842987531517,-1.749233329187951,-0.5129469772303901,-0.1536361928978106,0.1026819413571135,0.3406874148377855,93.5200513259055,4789.200474015565
1717368609731,2024-06-03 01:50:09,-45.0,-108.0,32.0,325,4276,1,0,6609,4399.585889603703,85.17579425518126,0,0,0,0,1,15,-0.9528841392462462,1.2426976696506875,-1.7488761285604966,-0.4002338382513358,-1.261429301075879,0.0936162873826164,0.2726651342557639,137.5281789307195,4926.7286529462845
1717368616412,2024-06-03 01:50:16,-21.0,13.0,36.8,222,4275,1,0,6616,4268.921760819704,86.73678622422716,0,0,0,0,1,15,-1.0594363460553706,1.269480864123242,-1.7484593944951332,-0.1543142622970357,-0.0958382916015636,0.0669373628290964,0.2721536885371021,103.00485425454472,5029.733507200829
1717368622297,2024-06-03 01:50:22,-17.0,108.0,34.9,243,4236,1,0,6622,4136.179880034233,86.39601489202802,0,0,0,0,1,15,-1.167682889810827,1.2636339763480668,-1.7481021938676786,-0.1133276663046524,0.8192951455890146,0.0723767552137947,0.2522073055092912,44.294469180700204,5074.02797638153
1717368627892,2024-06-03 01:50:27,-3.0,49.0,33.3,276,4255,1,0,6627,4215.2434093418615,86.20491254638046,0,0,0,0,1,15,-1.1032092381342289,1.260355079730317,-1.7478045266781337,0.0301254196686893,0.2509491161759186,0.0809243718183205,0.2619247741638658,38.07886552931954,5112.10684191085
1717368633656,2024-06-03 01:50:33,-20.0,126.0,37.7,164,4437,1,0,6633,4314.92491244054,87.55601283524423,0,0,0,0,1,15,-1.0219223215790902,1.283536993863213,-1.747447326050679,-0.1440676132989399,0.9926888494777558,0.0519142790999298,0.3550078949603163,213.70072531463248,5325.807567225482
1717368640104,2024-06-03 01:50:40,-34.0,42.0,37.9,125,4242,1,0,6640,4203.008565301765,87.83198080282556,0,0,0,0,1,15,-1.113186342367578,1.2882719982005153,-1.7470305919853155,-0.2875206992722816,0.1835182313302971,0.0418125503854902,0.2552759798212621,198.8617610301186,5524.669328255601
1717368645412,2024-06-03 01:50:45,44.0,-169.0,33.1,255,4295,0,0,6645,4468.983888984161,87.29381311493499,0,0,0,0,1,15,-0.8962924024708834,1.2790382224159875,-1.74673292479577,0.5117179225791937,-1.849041297587724,0.0754849794336223,0.2823826029103384,140.38874598770374,5665.058074243304
1717368651839,2024-06-03 01:50:51,7.0,158.0,35.3,219,4338,1,0,6651,4185.37262379349,87.09657742334764,0,0,0,0,1,15,-1.1275678601135066,1.2756540910498655,-1.7463757241683158,0.1325919096496477,1.30094432305774,0.0661603067741395,0.3043747688127965,56.08029957123981,5721.138373814544
1717368657411,2024-06-03 01:50:57,16.0,155.0,37.0,233,4363,1,0,6657,4213.59146097483,87.04796090771761,0,0,0,0,1,15,-1.1045563465233486,1.2748199383966057,-1.7460185235408614,0.2248117506325102,1.2720453724096166,0.0697865683639384,0.3171609117793419,28.653097563788805,5749.791471378333
1717368663119,2024-06-03 01:51:03,27.0,124.0,37.6,230,4512,1,0,6663,4392.693137472728,87.35124060884246,0,0,0,0,1,15,-0.9585049470178856,1.2800235521088337,-1.745661322913407,0.3375248896115644,0.9734228823790068,0.0690095123089815,0.3933663238599525,149.03019828209315,5898.821669660426
1717368669832,2024-06-03 01:51:09,-6.0,205.0,37.2,278,4563,1,0,6669,4367.243982192888,86.27144900617762,0,0,0,0,1,15,-0.979257878076552,1.2614966992758367,-1.7453041222859529,-0.0006145273255981,1.7536945498783418,0.0814424091882918,0.4194500555117051,70.03570517957252,5968.857374839999
1717368675476,2024-06-03 01:51:15,-21.0,-112.0,34.6,273,4337,1,0,6675,4458.703511111722,86.21926200720891,0,0,0,0,1,15,-0.9046757052130684,1.2606012849687585,-1.7449469216584983,-0.1543142622970357,-1.299961235273377,0.0801473157633636,0.3038633230941347,226.05530296810116,6194.9126778081
1717368680878,2024-06-03 01:51:20,62.0,-15.0,35.6,325,4483,1,0,6680,4505.682301272472,86.65370102228226,0,0,0,0,1,15,-0.8663660802881924,1.2680553045011502,-1.744649254468953,0.6961576045449187,-0.3655618309840498,0.0936162873826164,0.3785343980187598,154.983870128475,6349.896547936574
1717368686826,2024-06-03 01:51:26,38.0,191.0,35.5,266,4492,1,0,6686,4307.039006092236,86.9655378880802,0,0,0,0,1,15,-1.0283530132457437,1.2734057403688523,-1.7442920538414983,0.4502380285906187,1.6188327801870988,0.0783341849684642,0.3831374094867162,59.682493245507096,6409.579041182082
1717979420236,2024-06-10 03:30:20,155.0,-65.0,38.1,-3862,756,0,0,12620,4100.040243704932,-11.55110719987148,0,0,1,0,0,16,-1.197153548973388,-0.4169235608042834,-1.3910206332891073,1.6490959613678315,-0.8472110084527751,-0.9908949466522206,-1.5276237954338283,0.0,0.0
1717979423859,2024-06-10 03:30:23,-124.0,21.0,38.6,-3938,683,1,0,12623,3871.025703867129,-9.846786545582423,0,0,1,0,0,16,-1.383907211498726,-0.387681160822357,-1.39084203297538,-1.209719109100907,-0.0187744232065675,-1.0105803667111284,-1.564959332896141,105.38026380684383,105.38026380684383
1717979427423,2024-06-10 03:30:27,7.0,-178.0,39.3,-4069,726,0,0,12627,4175.043951864459,-12.504991528661773,0,0,1,0,0,16,-1.135990545036199,-0.4332901212920531,-1.3906038992237435,0.1325919096496477,-1.9357381495320944,-1.0445118144442462,-1.542967166993683,137.87675656179326,243.2570203686371
1717979442794,2024-06-10 03:30:42,20.0,133.0,32.7,-2619,3157,1,0,12642,4013.5890422413695,-48.88927843935711,0,1,0,0,0,16,-1.267651599073048,-1.057564589962119,-1.3897108976551078,0.2657983466248936,1.0601197343233777,-0.6689347212150812,-0.2996426249268082,2830.593753967531,3073.850774336168
1717979446464,2024-06-10 03:30:46,56.0,-73.0,33.6,-2714,3081,1,0,12646,4197.691746662682,-48.70878487347657,0,1,0,0,0,16,-1.1175220293267334,-1.0544677167098,-1.3894727639034714,0.6346777105563437,-0.9242748768477712,-0.6935414962887162,-0.3385124995451062,121.65936051122412,3195.5101348473927
1717979450205,2024-06-10 03:30:50,19.0,-7.0,35.9,-2932,3025,1,0,12650,4231.007563217065,-45.77564342788983,0,1,0,0,0,16,-1.0903541003124455,-1.004141450264832,-1.3892346301518352,0.2555516976267977,-0.2884979625890537,-0.7500075696155837,-0.3671534597901679,225.07776433935007,3420.5878991867426
1717979454198,2024-06-10 03:30:54,64.0,-343.0,30.4,-1444,3941,0,0,12654,4541.664892966014,-70.6075506927467,1,0,0,0,0,16,-0.8370234857495132,-1.4302024515943927,-1.388996496400199,0.7166509025411104,-3.5251804351788887,-0.3645877663569647,0.1013308185040555,1747.3408368146154,5167.928736001358
1717979457713,2024-06-10 03:30:57,-127.0,123.0,35.6,-1507,3913,1,0,12657,4033.422864020087,-69.99262074940464,1,0,0,0,0,16,-1.2514777838136613,-1.419651604065309,-1.388817896086472,-1.2404590560951945,0.9637898988296324,-0.3809059435110595,0.0870103383815247,68.94200461257273,5236.870740613931
1717979461745,2024-06-10 03:31:01,-94.0,5.0,29.7,-1196,3712,1,0,12661,3867.3315089348102,-73.44408005916426,1,0,0,0,0,16,-1.386919703343923,-1.4788710669071978,-1.3885797623348357,-0.9023196391580318,-0.1729021599965596,-0.3003511324805282,-0.0157902510695003,370.2998784768907,5607.170619090822
1717979465073,2024-06-10 03:31:05,27.0,39.0,33.2,-161,4138,1,0,12665,4103.30903052646,-87.37397826932016,1,0,0,0,0,16,-1.1944879631491547,-1.7178775321188855,-1.388341628583199,0.3375248896115644,0.1546192806821736,-0.0322667935204002,0.2020856250804333,1119.2412608548705,6726.411879945692
1717979468703,2024-06-10 03:31:08,-5.0,61.0,32.6,-59,4002,1,0,12668,3941.369939500732,-89.2149762784091,1,0,0,0,0,16,-1.3265438508517344,-1.7494650153851528,-1.388163028269472,0.0096321216724976,0.3665449187684128,-0.0058468876518658,0.1325290073424263,170.0,6896.411879945692
1717979472392,2024-06-10 03:31:12,-29.0,-103.0,31.0,-241,3942,1,0,12672,4050.551690819412,-86.99985121583852,1,0,0,0,0,16,-1.2375098010742172,-1.7114583334109212,-1.3879248945178355,-0.2362874542818024,-1.2132643833290064,-0.0529882883192506,0.1018422642227173,191.63506985935533,7088.046949805047
1717979476127,2024-06-10 03:31:16,14.0,-187.0,32.1,1119,3890,0,0,12676,4224.092091799136,74.8352943949993,0,0,0,0,1,16,-1.0959934348992455,1.065277398316459,-1.3876867607661996,0.2043184526363185,-2.022435001476465,0.2992771232612075,0.0752470868523029,1360.9937545778819,8449.04070438293
1717979479763,2024-06-10 03:31:19,-58.0,-26.0,31.3,901,3888,1,0,12679,4029.773814992598,76.2327326362821,0,0,0,0,1,16,-1.2544534606903377,1.089254369961315,-1.3875081604524724,-0.5334402752265817,-0.4715246500271694,0.2428110499343399,0.0742241954149793,218.00917411888886,8667.049878501817
