HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,Corner_Right,Wing_Right,TOP,Wing_Left,Corner_Left,ClusterID,Norm_ShotDistance,Norm_ShotAngle,Norm_TimeInSeconds,Norm_HitX,Norm_HitY,Norm_OriginX,Norm_OriginY
1627575750608,2021-07-29 19:22:30,-16.0,44.0,46.1,30,4288,1,0,69750,4244.249285798373,89.37900502961377,0,0,0,0,1,7,-1.079555920459082,1.3148155368871024,2.010124674455773,-0.10308101730655655,0.20278419842904613,0.01720577531185532,0.2788024828797057
1627575758715,2021-07-29 19:22:38,-17.0,-57.0,46.0,44,4570,1,0,69758,4627.402078920742,89.2446855226141,0,0,0,0,1,7,-0.7671076913069359,1.3125109090935152,2.0106009419590456,-0.1133276663046524,-0.7701471400577791,0.020832036901654152,0.42303017554233785
1627575766102,2021-07-29 19:22:46,18.0,143.0,48.4,-34,4500,1,0,69766,4357.310294206737,-89.31621779070218,1,0,0,0,0,7,-0.9873584668649825,-1.7512020974241453,2.011077209462318,0.24530504862870192,1.1564495698171224,0.0006285794727749381,0.38722897523601074
1627575773371,2021-07-29 19:22:53,32.0,26.0,47.2,-115,4682,1,0,69773,4658.319976128733,-88.19164889448851,1,0,0,0,0,7,-0.7418951849513842,-1.7319069645584162,2.0114939435276815,0.3887581346020436,0.029390494540304988,-0.020351934011061175,0.4803120960324612
1627575781156,2021-07-29 19:23:01,56.0,-56.0,48.1,-16,4431,1,0,69781,4487.577631640483,-89.08069041417619,1,0,0,0,0,7,-0.8811298300701051,-1.7471609648275683,2.011970211030954,0.6346777105563437,-0.7605141565084046,0.005290915802516296,0.35193922064834543
1627575788492,2021-07-29 19:23:08,-4.0,14.0,45.1,67,4475,1,0,69788,4461.564972069778,89.08817374819502,0,0,0,0,1,7,-0.9023422799446607,1.3098255107220727,2.0123869450963174,0.019878770670593484,-0.08620530805218911,0.026789466656323667,0.37444283226946534
1627575826894,2021-07-29 19:23:46,-168.0,34.0,41.6,-5748,323,0,1,69826,5587.478948506205,-2.9648205099934137,0,0,1,0,0,7,0.01580273799563896,-0.26960173546992916,2.0146492157368616,-1.660571665017124,0.10645436293530104,-1.4794041865351206,-1.7490797916143948
1627575831355,2021-07-29 19:23:51,-72.0,-30.0,43.0,-5864,41,1,0,69831,5792.435152852382,-0.7023129495194904,0,0,1,0,0,7,0.18293763626912365,-0.23078207387690017,2.0149468829264072,-0.6768933611999234,-0.5100565842246675,-1.5094503539934538,-1.893307484277027
1627575834668,2021-07-29 19:23:54,38.0,115.0,40.0,-6052,8,1,0,69834,6090.939911048212,1.0065710486553805,0,0,1,0,0,7,0.4263582370475438,-0.20146137693434715,2.0151254832401344,0.4502380285906187,0.8867260304346363,-1.5581458667707524,-1.9101851929928668
1627575837954,2021-07-29 19:23:57,22.0,-66.0,41.7,-5951,241,1,1,69837,5980.88438276481,-2.9422969239707726,0,0,1,0,0,7,0.33661165151353,-0.26921528019237095,2.0153040835538616,0.28629164462108525,-0.8568439920021497,-1.5319849795872036,-1.7910183405446638
