HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1627575622007,Thu Jul 29 2021 19:20:22 GMT+0300 (Israel Daylight Time),-34.0,-48.0,39.0,4390,3087,TRUE,FALSE
1627575625380,Thu Jul 29 2021 19:20:25 GMT+0300 (Israel Daylight Time),-40.0,-20.0,35.8,4429,3130,TRUE,FALSE
1627575628535,Thu Jul 29 2021 19:20:28 GMT+0300 (Israel Daylight Time),-45.0,-55.0,37.7,4244,2881,TRUE,FALSE
1627575631679,Thu Jul 29 2021 19:20:31 GMT+0300 (Israel Daylight Time),-32.0,1.0,39.1,4366,3071,TRUE,FALSE
1627575634904,Thu Jul 29 2021 19:20:34 GMT+0300 (Israel Daylight Time),-91.0,-48.0,40.5,4462,2990,TRUE,FALSE
1627575638465,Thu Jul 29 2021 19:20:38 GMT+0300 (Israel Daylight Time),74.0,16.0,49.0,2157,2718,TRUE,TRUE
1627575641555,Thu Jul 29 2021 19:20:41 GMT+0300 (Israel Daylight Time),-43.0,35.0,44.8,1979,2808,TRUE,TRUE
1627575662527,Thu Jul 29 2021 19:21:02 GMT+0300 (Israel Daylight Time),-170.0,-12.0,41.0,4951,58,FALSE,FALSE
1627575665963,Thu Jul 29 2021 19:21:05 GMT+0300 (Israel Daylight Time),-83.0,-68.0,39.1,5284,34,TRUE,FALSE
1627575669116,Thu Jul 29 2021 19:21:09 GMT+0300 (Israel Daylight Time),-73.0,-34.0,38.7,5289,15,TRUE,FALSE
1627575672226,Thu Jul 29 2021 19:21:12 GMT+0300 (Israel Daylight Time),-53.0,17.0,38.5,5249,96,TRUE,FALSE
1627575675260,Thu Jul 29 2021 19:21:15 GMT+0300 (Israel Daylight Time),14.0,-13.0,39.9,5137,11,TRUE,FALSE
1627575678501,Thu Jul 29 2021 19:21:18 GMT+0300 (Israel Daylight Time),14.0,31.0,40.6,5380,39,TRUE,FALSE
1627575681727,Thu Jul 29 2021 19:21:21 GMT+0300 (Israel Daylight Time),-59.0,-89.0,38.1,5295,114,TRUE,FALSE
1627575684869,Thu Jul 29 2021 19:21:24 GMT+0300 (Israel Daylight Time),-62.0,-17.0,40.3,5237,81,TRUE,FALSE
